time,actual_roll,actual_pitch,actual_yaw,estimated_roll,estimated_pitch,estimated_yaw,reference_roll,reference_pitch,reference_yawrate,m1,m2,m3,m4,l1,l2,l3,l4
6.450000,0.693852,5.237192,-0.000135,-0.172115,4.621544,0.000000,0.000000,5.000000,0.000000,46.651408,43.819333,44.899672,47.734798,-0.172115,4.621544,-0.001468,0.000000
6.500000,1.062024,4.991673,-0.000102,-0.261843,5.438162,0.000000,0.000000,6.000000,0.000000,46.234836,45.902190,45.319295,45.648890,-0.261843,5.438162,0.001479,0.000000
6.550000,0.905327,5.349816,-0.000042,0.310183,5.666922,0.000000,0.000000,6.000000,0.000000,44.917983,46.749065,46.637675,44.800488,0.310183,5.666922,0.002527,0.000000
6.600000,0.532485,5.693089,0.000036,0.235397,5.680011,0.000000,0.000000,7.000000,0.000000,46.282139,46.530861,45.271992,45.020218,0.235397,5.680011,0.000949,0.000000
6.650000,0.336477,6.625219,0.000180,0.191424,6.336892,0.000000,0.000000,7.000000,0.000000,45.445945,47.139696,46.106661,44.411383,0.191424,6.336892,0.000518,0.000000
6.700000,0.339468,6.942971,0.000193,-0.095063,6.977037,0.000000,0.000000,8.000000,0.000000,45.279622,44.921035,46.272984,46.631571,-0.095063,6.977037,0.000186,0.000000
6.750000,0.086723,7.745066,0.000304,0.225097,7.436595,0.000000,0.000000,8.000000,0.000000,44.847791,46.158541,46.709392,45.389487,0.225097,7.436595,0.002987,0.000000
6.800000,-0.164769,8.055704,0.000399,-0.270731,8.156828,0.000000,0.000000,9.000000,0.000000,45.857939,44.176394,45.694667,47.376211,-0.270731,8.156828,0.000007,0.000000
6.850000,0.102441,8.690299,0.000308,-0.456438,8.802088,0.000000,0.000000,9.000000,0.000000,46.701762,43.807126,44.846265,47.750057,-0.456438,8.802088,-0.003438,0.000000
6.900000,0.405572,8.756706,0.000278,-0.315669,9.145995,0.000000,0.000000,10.000000,0.000000,46.610208,44.914931,44.942397,46.637675,-0.315669,9.145995,-0.000434,0.000000
6.950000,0.319666,9.581660,0.000279,0.313995,9.674777,0.000000,0.000000,10.000000,0.000000,46.430152,45.400168,45.125505,46.150912,0.313995,9.674777,0.001964,0.000000
7.000000,0.001007,9.912293,0.000361,0.238595,9.841755,0.000000,0.000000,9.000000,0.000000,46.399634,45.137713,45.154498,46.411841,0.238595,9.841755,0.001899,0.000000
7.050000,-0.140781,9.261630,0.000273,0.010583,9.208202,0.000000,0.000000,9.000000,0.000000,45.159075,46.904707,46.393530,44.647898,0.010583,9.208202,-0.000226,0.000000
7.100000,-0.303757,9.137321,0.000255,-0.039069,8.902226,0.000000,0.000000,8.000000,0.000000,43.375296,46.063935,48.177310,45.488670,-0.039069,8.902226,0.000099,0.000000
7.150000,-0.612300,8.270964,0.000115,0.465817,8.411033,0.000000,0.000000,8.000000,0.000000,46.242466,45.592432,45.304036,45.966278,0.465817,8.411033,-0.004302,0.000000
7.200000,-0.773322,8.301784,0.000080,0.063727,7.792387,0.000000,0.000000,7.000000,0.000000,46.282139,45.882353,45.270466,45.670253,0.063727,7.792387,-0.000009,0.000000
7.250000,-0.590259,7.784191,0.000132,-0.385794,7.496254,0.000000,0.000000,7.000000,0.000000,46.332494,44.858473,45.223163,46.692607,-0.385794,7.496254,0.002004,0.000000
7.300000,-0.455549,7.596027,0.000167,0.041379,6.937137,0.000000,0.000000,6.000000,0.000000,45.293355,47.025254,46.260777,44.527352,0.041379,6.937137,0.000078,0.000000
